縣市別代碼,年別,項目,原始值[統計數值],年增率[%]
63000,84年,5月,73.58,3.42
63000,84年,6月,74.37,4.46
63000,84年,7月,74.32,3.79
63000,84年,8月,74.75,2.6
63000,84年,9月,75.3,3.04
63000,84年,10月,75.21,3.71
63000,84年,11月,75.68,4.84
63000,84年,12月,75.38,4.72
63000,84年,年指數,74.29,3.88
63000,85年,1月,75.34,2.49
63000,85年,2月,76.17,4.57
63000,85年,3月,75.37,3.82
63000,85年,4月,76.58,3.47
63000,85年,5月,76.17,3.52
63000,85年,6月,76.82,3.3
63000,85年,7月,76.01,2.28
63000,85年,8月,78.88,5.53
63000,85年,9月,78.48,4.22
63000,85年,10月,78.29,4.1
63000,85年,11月,78.28,3.44
63000,85年,12月,77.84,3.26
63000,85年,年指數,77.02,3.67
63000,86年,1月,77.18,2.44
63000,86年,2月,77.72,2.04
63000,86年,3月,76.31,1.25
63000,86年,4月,77.17,0.77
63000,86年,5月,77.23,1.39
63000,86年,6月,78.49,2.17
63000,86年,7月,79.13,4.09
63000,86年,8月,79.24,0.45
63000,86年,9月,79.72,1.58
63000,86年,10月,78.74,0.58
63000,86年,11月,78.63,0.46
63000,86年,12月,79.15,1.7
63000,86年,年指數,78.23,1.58
63000,87年,1月,80.43,4.21
63000,87年,2月,78.88,1.5
63000,87年,3月,79.13,3.69
63000,87年,4月,79.32,2.78
63000,87年,5月,79.49,2.93
63000,87年,6月,80.39,2.42
63000,87年,7月,79.93,1.02
63000,87年,8月,79.47,0.29
63000,87年,9月,79.64,-0.11
63000,87年,10月,80.02,1.63
63000,87年,11月,80.62,2.52
63000,87年,12月,79.97,1.03
63000,87年,年指數,79.77,1.97
63000,88年,1月,79.36,-1.33
63000,88年,2月,80.96,2.62
63000,88年,3月,78.74,-0.49
63000,88年,4月,79.21,-0.13
63000,88年,5月,79.46,-0.04
63000,88年,6月,79.85,-0.67
63000,88年,7月,79.55,-0.48
63000,88年,8月,80.44,1.22
63000,88年,9月,80.6,1.21
63000,88年,10月,81.25,1.54
63000,88年,11月,80.89,0.33
63000,88年,12月,80.69,0.89
63000,88年,年指數,80.08,0.39
63000,89年,1月,80.13,0.97
63000,89年,2月,81.86,1.12
63000,89年,3月,79.93,1.52
63000,89年,4月,80.67,1.84
63000,89年,5月,81.23,2.23
63000,89年,6月,81.31,1.83
63000,89年,7月,80.9,1.69
63000,89年,8月,81.15,0.87
63000,89年,9月,82.05,1.8
