日期,備轉容量(萬瓩),備轉容量率(%)
20240606,501.1,14.87
20240607,810.3,23.38
20240608,956.9,30.6
20240609,284.5,9.49
20240610,356.4,11.49
20240611,663.4,18
20240612,705.5,18.75
20240613,630.1,16.67
20240614,507.1,13.62
20240615,1004.8,29.09
20240616,420.8,12.91
20240617,780.8,20.32
20240618,756.5,19.7
20240619,746.4,19.21
20240620,666.4,16.81
20240621,625.8,15.4
20240622,895.7,24.58
20240623,1202.2,34.96
20240624,675.2,16.65
20240625,515.5,12.74
20240626,595.3,14.78
20240627,634.2,15.69
20240628,722.4,17.8
20240629,1236.3,35.22
20240630,476,14.11
20240701,825.7,20.5
20240702,662.9,16.1
20240703,381.1,9.32
20240704,542.4,13.21
20240705,440.1,10.71
20240706,542.7,14.81
20240707,650.4,19.21
20240708,549.4,13.72
20240709,664,16.91
20240710,792.6,19.97
20240711,747.6,18.73
20240712,733.9,18.1
20240713,955.9,26.46
20240714,319.1,9.33
20240715,549.3,13.39
20240716,577.1,14.05
20240717,446.5,10.88
20240718,497.4,12.13
20240719,476.3,11.53
20240720,722,19.64
20240721,966.7,27.97
20240722,574.2,13.94
20240723,534.4,12.9
20240724,669.4,21.19
20240725,789.4,27.66
20240726,538,15.75
20240727,943.8,28.99
20240728,413.2,12.8
20240729,604.5,16
20240730,590.3,15.32
20240731,666,17.16
20240801,778.4,19.57
20240802,750.6,18.84
20240803,919,25.48
20240804,232.8,6.73
20240805,591.2,14.59
20240806,313.2,8.01
20240807,595,15.1
20240808,711.5,18.29
20240809,577.7,15.01
20240810,995.1,30.05
20240811,489.9,14.89
20240812,714.2,18.46
20240813,509.7,12.8
20240814,652.5,16.6
20240815,381,10.17
20240816,722.4,19.09
20240817,898.4,27.94
20240818,529.9,16.73
20240819,690.7,18.62
20240820,600.7,15.6
20240821,918.1,23.52
20240822,846.9,21.78
20240823,728.3,18.52
20240824,732.2,21.01
20240825,442.4,13.6
20240826,708.9,18.34
20240827,761.8,19.19
20240828,656.6,16.37
20240829,638.6,15.94
20240830,662.3,16.69
20240831,898.7,25.29
20240901,478.1,14.1
20240902,780.1,19.41
20240903,719.3,18.01
20240904,378.2,9.34
20240905,331.9,8.25
20240906,415.9,10.15
20240907,865.8,25.62
20240908,1063.6,33.44
20240909,626.5,16.27
20240910,628.2,16.11
20240911,536.4,13.46
20240912,410.2,10.43
20240913,621.4,15.83
20240914,980.2,30.43
20240915,261.3,8.19
20240916,688.2,18.58
20240917,976.1,29.1
20240918,708.8,18.21
20240919,440.1,11.17
20240920,452.9,11.64
20240921,525.4,16.1
20240922,697.4,23.06
20240923,807.2,21.87
20240924,701.3,18.75
20240925,631.1,16.87
20240926,806.4,21.7
20240927,621.6,16.72
20240928,1183.9,36.96
20240929,369.6,11.78
20240930,617.8,16.96
20241001,601.8,17.19
20241002,1126,40.26
20241003,971.5,37.6
20241004,964.7,29.61
20241005,913.6,29.47
20241006,332,10.96
20241007,787.8,22.32
20241008,924.4,26.82
20241009,944.8,28.01
20241010,1236.8,42.68
20241011,897,28.43
20241012,1190.8,40.29
20241013,420.8,14.34
20241014,236.1,6.66
20241015,327.8,9.02
20241016,581.7,16.02
20241017,438.9,11.99
20241018,451.7,12.21
20241019,642.7,19.81
20241020,523.2,17.81
20241021,793.7,22.44
20241022,755.5,21.35
20241023,701.5,20.9
20241024,411.2,12.6
20241025,495,14.14
20241026,648,20.5
20241027,337.4,11.18
20241028,488.1,14.58
20241029,894.6,26.67
20241030,727.5,21.51
20241031,691.5,25.49
20241101,321.1,9.67
20241102,925.9,31.6
20241103,458.9,16.17
20241104,652.9,19.71
20241105,437,13.35
20241106,642.8,20.31
20241107,687.6,21.71
20241108,576.9,18.28
20241109,446.4,15.34
20241110,453.9,16.21
20241111,677.1,20.74
20241112,382.9,11.58
20241113,587.9,17.25
20241114,345.1,10.08
20241115,288.5,8.42
20241116,412.8,13.98
20241117,414.2,14.55
20241118,437.9,13.85
20241119,581.2,18.45
20241120,642.7,20.43
20241121,764.5,24.57
