年度,發購電,能源別,發購電量
2024,台電,抽蓄水力,3066078578
2024,台電,燃油,3444766014
2024,台電,燃煤,59767555965
2024,台電,燃氣,89205468004
2024,台電,核能,11726841690
2024,台電,地熱,3027103
2024,台電,慣常水力,3535599281
2024,台電,風力,946979033
2024,台電,太陽能,398059494
2024,台電,電池,214174
2004,購電,燃煤,19657337701
2004,購電,燃氣,14239132202
2004,購電,地熱,
2004,購電,承攬水力,532475493
2004,購電,水力,22338353
2004,購電,風力,
2004,購電,太陽能,
2004,購電,生質能,
2004,購電,廢棄物,
2004,購電,垃圾沼氣,
2004,購電,汽電共生,12996383486
2005,購電,燃煤,20600143199
2005,購電,燃氣,15113257841
2005,購電,地熱,
2005,購電,承攬水力,669952530
2005,購電,水力,43680495
2005,購電,風力,
2005,購電,太陽能,
2005,購電,生質能,
2005,購電,廢棄物,
2005,購電,垃圾沼氣,
2005,購電,汽電共生,12753522383
2006,購電,燃煤,20799984439
2006,購電,燃氣,14278216717
2006,購電,地熱,
2006,購電,承攬水力,643916520
2006,購電,水力,60365925
2006,購電,風力,92664460
2006,購電,太陽能,
2006,購電,生質能,
2006,購電,廢棄物,
2006,購電,垃圾沼氣,2227784361
2006,購電,汽電共生,9613103803
2007,購電,燃煤,20741835148
2007,購電,燃氣,14664502205
2007,購電,地熱,
2007,購電,承攬水力,901505180
2007,購電,水力,95021950
2007,購電,風力,153876760
2007,購電,太陽能,
2007,購電,生質能,
2007,購電,廢棄物,
2007,購電,垃圾沼氣,2315825376
2007,購電,汽電共生,9508201426
2008,購電,燃煤,19937142090
2008,購電,燃氣,14761377534
2008,購電,地熱,
2008,購電,承攬水力,728350850
2008,購電,水力,143927385
2008,購電,風力,329693772
2008,購電,太陽能,281143
2008,購電,生質能,
2008,購電,廢棄物,
2008,購電,垃圾沼氣,2279035200
2008,購電,汽電共生,7517472285
2009,購電,燃煤,22285636393
2009,購電,燃氣,15383953064
2009,購電,地熱,
2009,購電,承攬水力,625238390
2009,購電,水力,147241879
2009,購電,風力,476497737
2009,購電,太陽能,1079535
2009,購電,生質能,
2009,購電,廢棄物,
2009,購電,垃圾沼氣,2261563098
2009,購電,汽電共生,9062909840
2010,購電,燃煤,22463114463
2010,購電,燃氣,16382341628
2010,購電,地熱,
2010,購電,承攬水力,620310110
2010,購電,水力,115635316
2010,購電,風力,506654196
2010,購電,太陽能,2388004
2010,購電,生質能,
2010,購電,廢棄物,
2010,購電,垃圾沼氣,2356690706
2010,購電,汽電共生,7145456886
2011,購電,燃煤,21676477718
2011,購電,燃氣,17881732347
2011,購電,地熱,
2011,購電,承攬水力,767756820
2011,購電,水力,113002589
2011,購電,風力,729680215
2011,購電,太陽能,29455944
2011,購電,生質能,
2011,購電,廢棄物,
2011,購電,垃圾沼氣,2392612906
2011,購電,汽電共生,6862233922
2012,購電,燃煤,22140667291
2012,購電,燃氣,15195874655
2012,購電,地熱,
2012,購電,承攬水力,803649500
2012,購電,水力,157220132
2012,購電,風力,752972081
2012,購電,太陽能,125249887
2012,購電,生質能,
2012,購電,廢棄物,
2012,購電,垃圾沼氣,2373256535
2012,購電,汽電共生,4836066775
2013,購電,燃煤,21474270921
2013,購電,燃氣,16047515712
2013,購電,地熱,
2013,購電,承攬水力,711657050
2013,購電,水力,149803201
2013,購電,風力,869493475
2013,購電,太陽能,284353128
2013,購電,生質能,
2013,購電,廢棄物,
2013,購電,垃圾沼氣,2430462116
2013,購電,汽電共生,7267411837
2014,購電,燃煤,21523523872
2014,購電,燃氣,17181362604
2014,購電,地熱,
2014,購電,承攬水力,559034100
2014,購電,水力,134767825
2014,購電,風力,779959178
2014,購電,太陽能,488778389
2014,購電,生質能,
2014,購電,廢棄物,
2014,購電,垃圾沼氣,2494239492
2014,購電,汽電共生,7003644490
2015,購電,燃煤,21162897376
2015,購電,燃氣,17849419057
2015,購電,地熱,
2015,購電,承攬水力,587463840
2015,購電,水力,111610426
2015,購電,風力,787022767
2015,購電,太陽能,785513709
2015,購電,生質能,1348213
2015,購電,廢棄物,
2015,購電,垃圾沼氣,2525550023
2015,購電,汽電共生,6232051401
2016,購電,燃煤,21371337242
2016,購電,燃氣,19048484851
2016,購電,地熱,
2016,購電,承攬水力,852364330
2016,購電,水力,165661928
2016,購電,風力,800796276
2016,購電,太陽能,1044856970
2016,購電,生質能,2690794
2016,購電,廢棄物,
2016,購電,垃圾沼氣,2544797214
2016,購電,汽電共生,5918869650
2017,購電,燃煤,20995987155
2017,購電,燃氣,19486097671
2017,購電,地熱,
2017,購電,承攬水力,777258710
2017,購電,水力,144043589
2017,購電,風力,951602170
2017,購電,太陽能,1596763302
2017,購電,生質能,3125038
2017,購電,廢棄物,
2017,購電,垃圾沼氣,2500548708
2017,購電,汽電共生,4136883712
2018,購電,燃煤,19683154534
2018,購電,燃氣,19199238782
2018,購電,地熱,1473
2018,購電,承攬水力,756575322
2018,購電,水力,132496880
2018,購電,風力,912962636
2018,購電,太陽能,2630652118
2018,購電,生質能,5763993
2018,購電,廢棄物,
2018,購電,垃圾沼氣,2658446839
2018,購電,汽電共生,4647710125
2019,購電,燃煤,19317763998
2019,購電,燃氣,20036968933
2019,購電,地熱,756709
2019,購電,承攬水力,769079280
2019,購電,水力,125963680
2019,購電,風力,1065570224
2019,購電,太陽能,3815448075
2019,購電,生質能,13214480
2019,購電,廢棄物,
2019,購電,垃圾沼氣,2734639851
2019,購電,汽電共生,4149536875
2020,購電,燃煤,20784080445
2020,購電,燃氣,19807410606
2020,購電,地熱,1675809
2020,購電,承攬水力,515718554
2020,購電,水力,92363806
2020,購電,風力,1286325094
2020,購電,太陽能,5750700060
2020,購電,生質能,23039216
2020,購電,廢棄物,
2020,購電,垃圾沼氣,2691976342
2020,購電,汽電共生,4102337594
2021,購電,燃煤,18924506547
2021,購電,燃氣,23735496012
2021,購電,地熱,9070014
2021,購電,承攬水力,643382046
2021,購電,水力,91351242
2021,購電,風力,924771157
2021,購電,太陽能,7472334728
2021,購電,生質能,32542613
2021,購電,廢棄物,
2021,購電,垃圾沼氣,2707209752
2021,購電,汽電共生,5130733921
2022,購電,燃煤,19441680885
2022,購電,燃氣,24302678251
2022,購電,地熱,21851671
2022,購電,承攬水力,831735938
2022,購電,水力,99648194
2022,購電,風力,1551660755
2022,購電,太陽能,10146158455
2022,購電,生質能,43530548
2022,購電,廢棄物,1745444
2022,購電,垃圾沼氣,2615169860
2022,購電,汽電共生,3438242888
2023,購電,燃煤,19645614148
2023,購電,燃氣,25686922364
2023,購電,地熱,18661085
2023,購電,承攬水力,525577461
2023,購電,水力,23344671
2023,購電,風力,4241736276
2023,購電,太陽能,12307830860
2023,購電,生質能,42550755
2023,購電,廢棄物,199622348
2023,購電,垃圾沼氣,2372862507
2023,購電,汽電共生,5939819140
2024,購電,燃煤,18461355128
2024,購電,燃氣,29543160299
2024,購電,地熱,19478301
2024,購電,承攬水力,513184844
2024,購電,水力,25083774.141
2024,購電,風力,7751170353.201
2024,購電,太陽能,14169443328.516
2024,購電,生質能,46841018
2024,購電,廢棄物,164865207
2024,購電,垃圾沼氣,2442577535
2024,購電,汽電共生,5919273081
2024,購電,電池,293675656.77
