日期,備轉容量(萬瓩),備轉容量率(%)
20250921,292.5,8.78
20250922,567.3,14.73
20250923,217.4,6.08
20250924,354.8,9.43
20250925,625.4,16.00
20250926,313.8,8.43
20250927,720.1,20.98
20250928,220.1,6.74
20250929,834.7,25.10
20250930,550.0,14.07
20251001,478.1,12.19
20251002,565.0,14.54
20251003,441.7,11.32
20251004,852.5,24.18
20251005,939.8,28.76
20251006,312.5,9.50
20251007,696.8,17.95
20251008,644.1,16.70
20251009,819.8,21.45
20251010,862.6,25.29
20251011,781.5,23.45
20251012,295.3,9.00
20251013,581.7,15.01
20251014,544.0,13.91
20251015,572.8,14.81
20251016,588.5,15.13
20251017,515.0,13.23
20251018,798.8,22.84
20251019,520.8,16.53
20251020,709.0,20.09
20251021,680.5,19.91
20251022,556.5,16.50
20251023,573.9,16.91
20251024,759.7,25.70
20251025,297.8,10.01
20251026,303.4,10.60
20251027,564.3,17.51
20251028,683.2,20.74
20251029,758.5,23.03
20251030,724.1,21.23
20251031,932.9,28.18
20251101,331.2,11.44
20251102,449.8,16.15
20251103,822.6,25.83
20251104,797.9,24.52
20251105,573.0,17.28
20251106,704.0,20.72
20251107,657.4,18.97
20251108,353.6,11.65
20251109,451.9,15.34
20251110,377.3,11.43
20251111,755.9,23.33
20251112,693.9,22.93
20251113,912.5,28.21
20251114,814.4,25.40
20251115,412.5,14.23
20251116,272.0,9.48
20251117,703.0,21.55
