date,reserve_capacity_mw,reserve_margin_pct
2025-07-18,6731.0,16.76
2025-07-19,4290.0,12.93
2025-07-20,5233.0,16.48
2025-07-21,7992.0,22.09
2025-07-22,5370.0,14.49
2025-07-23,8823.0,22.77
2025-07-24,7930.0,20.4
2025-07-25,9917.0,26.37
2025-07-26,10234.0,30.85
2025-07-27,6346.0,19.38
2025-07-28,5156.0,13.94
2025-07-29,8218.0,23.07
2025-07-30,6350.0,16.77
2025-07-31,6832.0,18.24
2025-08-01,6764.0,17.94
2025-08-02,7451.0,23.01
2025-08-03,5384.0,17.1
2025-08-04,5420.0,14.84
2025-08-05,8248.0,21.82
2025-08-06,8420.0,21.8
2025-08-07,8127.0,20.94
2025-08-08,8501.0,21.74
2025-08-09,8223.0,23.17
2025-08-10,5025.0,15.13
2025-08-11,9096.0,23.23
2025-08-12,6641.0,16.79
2025-08-13,7596.0,21.05
2025-08-14,6876.0,17.58
2025-08-15,7124.0,18.06
2025-08-16,8927.0,25.37
2025-08-17,2694.0,8.05
2025-08-18,7420.0,18.71
2025-08-19,7023.0,17.59
2025-08-20,7091.0,17.79
2025-08-21,8975.0,23.15
2025-08-22,8151.0,20.73
2025-08-23,11854.0,33.75
2025-08-24,9793.0,28.98
2025-08-25,6865.0,17.13
2025-08-26,6964.0,17.29
2025-08-27,5823.0,15.25
2025-08-28,6146.0,15.63
2025-08-29,7139.0,17.97
2025-08-30,10630.0,30.19
2025-08-31,3364.0,9.99
2025-09-01,6184.0,16.19
2025-09-02,6175.0,16.01
2025-09-03,7232.0,18.5
2025-09-04,7589.0,19.3
2025-09-05,6540.0,16.6
2025-09-06,8617.0,23.78
2025-09-07,9471.0,28.16
2025-09-08,6603.0,16.87
2025-09-09,5193.0,13.1
2025-09-10,3676.0,9.03
2025-09-11,6337.0,15.98
2025-09-12,6130.0,15.46
2025-09-13,7891.0,22.43
2025-09-14,2566.0,7.64
2025-09-15,4911.0,12.4
2025-09-16,3369.0,8.48
2025-09-17,4233.0,10.61
2025-09-18,2383.0,6.11
2025-09-19,4147.0,10.5
2025-09-20,8578.0,24.37
2025-09-21,2925.0,8.78
2025-09-22,5673.0,14.73
2025-09-23,2174.0,6.08
2025-09-24,3548.0,9.43
2025-09-25,6254.0,16.0
2025-09-26,3138.0,8.43
2025-09-27,7201.0,20.98
2025-09-28,2201.0,6.74
2025-09-29,8347.0,25.1
2025-09-30,5500.0,14.07
2025-10-01,4781.0,12.19
2025-10-02,5650.0,14.54
2025-10-03,4417.0,11.32
2025-10-04,8525.0,24.18
2025-10-05,9398.0,28.76
2025-10-06,3125.0,9.5
2025-10-07,6968.0,17.95
2025-10-08,6441.0,16.7
2025-10-09,8198.0,21.45
2025-10-10,8626.0,25.29
2025-10-11,7815.0,23.45
2025-10-12,2953.0,9.0
2025-10-13,5817.0,15.01
2025-10-14,5440.0,13.91
2025-10-15,5728.0,14.81
2025-10-16,5885.0,15.13
2025-10-17,5150.0,13.23
2025-10-18,7988.0,22.84
2025-10-19,5208.0,16.53
2025-10-20,7090.0,20.09
2025-10-21,6805.0,19.91
2025-10-22,5565.0,16.5
2025-10-23,5739.0,16.91
2025-10-24,7597.0,25.7
2025-10-25,2978.0,10.01
2025-10-26,3034.0,10.6
2025-10-27,5643.0,17.51
2025-10-28,6832.0,20.74
2025-10-29,7585.0,23.03
