date,reserve_capacity_mw,reserve_margin_pct
2022-07-18,5555.0,14.21
2022-07-19,4001.0,10.02
2022-07-20,4575.0,11.35
2022-07-21,4290.0,10.65
2022-07-22,4199.0,10.3
2022-07-23,5806.0,15.95
2022-07-24,2804.0,8.06
2022-07-25,3857.0,9.48
2022-07-26,3950.0,9.82
2022-07-27,4162.0,10.38
2022-07-28,3913.0,9.77
2022-07-29,4695.0,11.8
2022-07-30,7230.0,20.81
2022-07-31,4829.0,14.54
2022-08-01,3125.0,8.01
2022-08-02,4829.0,13.24
2022-08-03,4799.0,12.74
2022-08-04,4160.0,10.84
2022-08-05,5589.0,14.66
2022-08-06,7879.0,23.03
2022-08-07,5435.0,16.78
2022-08-08,5169.0,13.19
2022-08-09,4443.0,11.29
2022-08-10,4987.0,12.78
2022-08-11,4114.0,10.49
2022-08-12,4560.0,11.73
2022-08-13,7963.0,23.14
2022-08-14,3173.0,9.54
2022-08-15,4591.0,11.89
2022-08-16,4476.0,11.61
2022-08-17,4079.0,10.47
2022-08-18,4687.0,12.44
2022-08-19,5489.0,14.33
2022-08-20,7955.0,23.28
2022-08-21,4194.0,12.73
2022-08-22,4576.0,11.58
2022-08-23,3216.0,8.06
2022-08-24,1993.0,5.01
2022-08-25,4853.0,12.2
2022-08-26,5023.0,12.76
2022-08-27,5275.0,14.83
2022-08-28,7647.0,23.58
2022-08-29,3903.0,10.05
2022-08-30,3986.0,10.24
2022-08-31,4844.0,12.42
2022-09-01,5732.0,15.42
2022-09-02,6257.0,18.0
2022-09-03,4929.0,15.87
2022-09-04,5206.0,17.25
2022-09-05,6296.0,17.02
2022-09-06,5677.0,15.76
2022-09-07,5713.0,15.73
2022-09-08,6989.0,19.83
2022-09-09,9073.0,30.42
2022-09-10,5091.0,18.13
2022-09-11,4452.0,15.34
2022-09-12,6501.0,18.86
2022-09-13,6191.0,18.07
2022-09-14,3728.0,10.53
2022-09-15,5081.0,14.13
2022-09-16,4688.0,13.1
2022-09-17,8066.0,25.64
2022-09-18,4644.0,15.38
2022-09-19,5181.0,14.55
2022-09-20,6162.0,17.91
2022-09-21,6685.0,19.32
2022-09-22,6752.0,19.63
2022-09-23,5951.0,17.31
2022-09-24,7748.0,26.27
2022-09-25,4422.0,15.28
2022-09-26,5164.0,14.5
2022-09-27,5192.0,14.47
2022-09-28,5318.0,14.52
2022-09-29,5151.0,14.01
2022-09-30,5070.0,13.84
2022-10-01,7819.0,24.14
2022-10-02,3825.0,12.31
2022-10-03,3796.0,10.14
2022-10-04,4005.0,10.62
2022-10-05,5510.0,15.06
2022-10-06,6274.0,17.42
2022-10-07,6062.0,17.29
2022-10-08,5411.0,18.65
2022-10-09,5653.0,20.4
2022-10-10,7263.0,27.23
2022-10-11,7243.0,23.84
2022-10-12,7020.0,22.13
2022-10-13,3955.0,12.23
2022-10-14,5777.0,17.73
2022-10-15,3593.0,12.32
2022-10-16,3448.0,12.02
2022-10-17,5934.0,18.31
2022-10-18,4209.0,13.72
2022-10-19,5739.0,18.83
2022-10-20,5510.0,17.59
2022-10-21,5296.0,16.69
2022-10-22,3935.0,13.41
2022-10-23,4758.0,17.29
2022-10-24,7833.0,25.8
2022-10-25,5638.0,18.57
2022-10-26,6101.0,19.37
2022-10-27,5038.0,15.79
2022-10-28,4858.0,15.28
2022-10-29,5881.0,21.1
2022-10-30,5248.0,19.21
2022-10-31,4904.0,15.82
2022-11-01,3713.0,12.08
2022-11-02,4545.0,14.5
2022-11-03,3096.0,9.59
2022-11-04,5484.0,17.55
2022-11-05,5031.0,18.58
2022-11-06,3575.0,13.5
2022-11-07,3729.0,12.01
2022-11-08,3550.0,11.32
2022-11-09,3483.0,10.74
2022-11-10,2537.0,7.73
2022-11-11,3454.0,10.43
2022-11-12,4755.0,16.42
2022-11-13,3973.0,14.45
2022-11-14,5010.0,15.81
2022-11-15,4956.0,15.39
2022-11-16,3910.0,12.29
2022-11-17,5285.0,16.28
2022-11-18,6521.0,20.25
2022-11-19,3880.0,13.69
2022-11-20,3608.0,13.2
2022-11-21,3086.0,9.67
2022-11-22,4459.0,13.71
2022-11-23,3709.0,11.66
2022-11-24,3961.0,12.55
2022-11-25,5485.0,17.46
2022-11-26,5730.0,21.32
2022-11-27,5557.0,20.6
2022-11-28,5585.0,17.2
2022-11-29,3837.0,11.56
2022-11-30,6770.0,22.1
2022-12-01,4464.0,14.91
2022-12-02,4517.0,15.41
2022-12-03,4285.0,15.67
2022-12-04,4126.0,15.71
2022-12-05,4904.0,16.63
2022-12-06,4486.0,15.19
2022-12-07,5138.0,17.18
2022-12-08,4972.0,16.73
2022-12-09,5808.0,19.66
2022-12-10,4189.0,15.58
2022-12-11,6013.0,23.15
2022-12-12,4958.0,16.83
2022-12-13,5540.0,18.68
2022-12-14,4780.0,16.0
2022-12-15,4490.0,14.98
2022-12-16,4279.0,14.41
2022-12-17,4448.0,16.33
2022-12-18,3558.0,13.02
2022-12-19,3549.0,12.08
2022-12-20,3373.0,11.44
2022-12-21,3848.0,13.06
2022-12-22,3916.0,13.35
2022-12-23,4326.0,14.91
2022-12-24,3995.0,14.92
